,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
64,0,"(3, 4, 16)",4,0.9507422402159245,0.7333333333333334,192,0.5454545454545455,BNCI2014-004,7,0train
65,1,"(1, 1, 1)",0,0.9397089397089398,0.68,193,0.7202797202797203,BNCI2014-004,7,0train
66,1,"(1, 1, 1)",1,0.9655405405405406,0.6111111111111112,193,0.7762237762237763,BNCI2014-004,7,0train
67,1,"(1, 1, 1)",2,0.9446693657219973,0.5888888888888888,193,0.5174825174825175,BNCI2014-004,7,0train
68,1,"(1, 1, 1)",3,0.912280701754386,0.7777777777777778,193,0.6363636363636365,BNCI2014-004,7,0train
69,1,"(1, 1, 1)",4,0.9493927125506074,0.7222222222222222,193,0.5244755244755244,BNCI2014-004,7,0train
70,0,"(1, 1, 1)",0,0.8545808966861599,0.8452380952380952,1,0.5169082125603865,BNCI2014-004,8,0train
71,0,"(1, 1, 1)",1,0.8662768031189084,0.7797619047619048,1,0.46859903381642515,BNCI2014-004,8,0train
72,0,"(1, 1, 1)",2,0.87694099378882,0.593939393939394,1,0.5555555555555556,BNCI2014-004,8,0train
73,0,"(1, 1, 1)",3,0.8810068649885584,0.6363636363636364,1,0.5362318840579711,BNCI2014-004,8,0train
74,0,"(1, 1, 1)",4,0.9115179252479024,0.5779220779220778,1,0.5265700483091788,BNCI2014-004,8,0train
75,1,"(3, 4, 8)",0,0.9598440545808966,0.75,97,0.5507246376811594,BNCI2014-004,8,0train
76,1,"(3, 4, 8)",1,0.953606237816764,0.8392857142857142,97,0.5990338164251208,BNCI2014-004,8,0train
77,1,"(3, 4, 8)",2,0.9514751552795031,0.6121212121212121,97,0.570048309178744,BNCI2014-004,8,0train
78,1,"(3, 4, 8)",3,0.9576659038901602,0.7272727272727273,97,0.6714975845410628,BNCI2014-004,8,0train
79,1,"(3, 4, 8)",4,0.9733028222730741,0.5714285714285714,97,0.4782608695652174,BNCI2014-004,8,0train
80,0,"(1, 1, 1)",0,0.9090277777777778,0.8,1,0.5571428571428572,BNCI2014-004,9,0train
81,0,"(1, 1, 1)",1,0.952027027027027,0.7666666666666666,1,0.5714285714285714,BNCI2014-004,9,0train
82,0,"(1, 1, 1)",2,0.9459459459459459,0.6888888888888889,1,0.7142857142857142,BNCI2014-004,9,0train
83,0,"(1, 1, 1)",3,0.9060810810810811,0.9222222222222223,1,0.6142857142857143,BNCI2014-004,9,0train
84,0,"(1, 1, 1)",4,0.9162162162162162,0.7222222222222222,1,0.5857142857142856,BNCI2014-004,9,0train
85,1,"(3, 4, 8)",0,0.9756944444444444,0.78,97,0.5285714285714286,BNCI2014-004,9,0train
86,1,"(3, 4, 8)",1,0.9804054054054054,0.6555555555555556,97,0.4928571428571429,BNCI2014-004,9,0train
87,1,"(3, 4, 8)",2,0.979054054054054,0.6333333333333333,97,0.6357142857142857,BNCI2014-004,9,0train
88,1,"(3, 4, 8)",3,0.9452702702702702,0.9555555555555556,97,0.5642857142857143,BNCI2014-004,9,0train
89,1,"(3, 4, 8)",4,0.9655405405405406,0.8555555555555555,97,0.5357142857142856,BNCI2014-004,9,0train
