,dataset,subject,session,run,fold,n_blocks,roc_auc_score
213,008-2014,3,session_0,run_0,3,6,0.862234693877551
214,008-2014,3,session_0,run_0,3,7,0.8622142857142857
215,008-2014,3,session_0,run_0,3,8,0.8620918367346939
216,008-2014,3,session_0,run_0,3,9,0.8620612244897958
217,008-2014,3,session_0,run_0,3,10,0.862
218,008-2014,3,session_0,run_0,3,11,0.8619795918367347
219,008-2014,3,session_0,run_0,3,12,0.861591836734694
220,008-2014,3,session_0,run_0,3,13,0.8616122448979592
221,008-2014,3,session_0,run_0,3,14,0.8615306122448979
222,008-2014,3,session_0,run_0,3,15,0.8614897959183673
223,008-2014,3,session_0,run_0,3,16,0.8615510204081633
224,008-2014,3,session_0,run_0,4,1,0.8703979591836735
225,008-2014,3,session_0,run_0,4,2,0.8995714285714286
226,008-2014,3,session_0,run_0,4,3,0.8982142857142857
227,008-2014,3,session_0,run_0,4,4,0.8981326530612245
228,008-2014,3,session_0,run_0,4,5,0.9028775510204082
229,008-2014,3,session_0,run_0,4,6,0.8996122448979592
230,008-2014,3,session_0,run_0,4,7,0.9011428571428571
231,008-2014,3,session_0,run_0,4,8,0.9014489795918368
232,008-2014,3,session_0,run_0,4,9,0.9017857142857144
233,008-2014,3,session_0,run_0,4,10,0.9018469387755101
234,008-2014,3,session_0,run_0,4,11,0.9004999999999999
235,008-2014,3,session_0,run_0,4,12,0.9003265306122449
236,008-2014,3,session_0,run_0,4,13,0.9003163265306123
237,008-2014,3,session_0,run_0,4,14,0.9003469387755102
238,008-2014,3,session_0,run_0,4,15,0.9003163265306122
239,008-2014,3,session_0,run_0,4,16,0.9002244897959183
240,008-2014,4,session_0,run_0,0,1,0.5670000000000001
241,008-2014,4,session_0,run_0,0,2,0.5926428571428571
242,008-2014,4,session_0,run_0,0,3,0.5855102040816327
243,008-2014,4,session_0,run_0,0,4,0.5738061224489797
244,008-2014,4,session_0,run_0,0,5,0.5688979591836736
245,008-2014,4,session_0,run_0,0,6,0.5689897959183673
246,008-2014,4,session_0,run_0,0,7,0.5691224489795919
247,008-2014,4,session_0,run_0,0,8,0.5687244897959184
248,008-2014,4,session_0,run_0,0,9,0.5688979591836735
249,008-2014,4,session_0,run_0,0,10,0.5696326530612245
250,008-2014,4,session_0,run_0,0,11,0.5697142857142856
251,008-2014,4,session_0,run_0,0,12,0.5699795918367347
252,008-2014,4,session_0,run_0,0,13,0.5700510204081632
253,008-2014,4,session_0,run_0,0,14,0.5701428571428571
254,008-2014,4,session_0,run_0,0,15,0.5699183673469388
255,008-2014,4,session_0,run_0,0,16,0.5704183673469387
256,008-2014,4,session_0,run_0,1,1,0.8146122448979592
257,008-2014,4,session_0,run_0,1,2,0.8350918367346938
258,008-2014,4,session_0,run_0,1,3,0.8378979591836735
259,008-2014,4,session_0,run_0,1,4,0.8415000000000001
260,008-2014,4,session_0,run_0,1,5,0.8350102040816327
261,008-2014,4,session_0,run_0,1,6,0.8313367346938776
262,008-2014,4,session_0,run_0,1,7,0.8269081632653061
263,008-2014,4,session_0,run_0,1,8,0.8263775510204081
264,008-2014,4,session_0,run_0,1,9,0.8248163265306122
265,008-2014,4,session_0,run_0,1,10,0.8249285714285715
266,008-2014,4,session_0,run_0,1,11,0.8260408163265305
267,008-2014,4,session_0,run_0,1,12,0.8371632653061225
268,008-2014,4,session_0,run_0,1,13,0.8415816326530613
269,008-2014,4,session_0,run_0,1,14,0.8427142857142857
270,008-2014,4,session_0,run_0,1,15,0.8448367346938774
271,008-2014,4,session_0,run_0,1,16,0.8457040816326531
272,008-2014,4,session_0,run_0,2,1,0.8394591836734693
273,008-2014,4,session_0,run_0,2,2,0.8391224489795919
274,008-2014,4,session_0,run_0,2,3,0.8380408163265307
275,008-2014,4,session_0,run_0,2,4,0.8374285714285715
276,008-2014,4,session_0,run_0,2,5,0.8335816326530613
277,008-2014,4,session_0,run_0,2,6,0.8334489795918366
278,008-2014,4,session_0,run_0,2,7,0.8333163265306123
279,008-2014,4,session_0,run_0,2,8,0.8323367346938776
280,008-2014,4,session_0,run_0,2,9,0.8329183673469388
281,008-2014,4,session_0,run_0,2,10,0.8329489795918367
282,008-2014,4,session_0,run_0,2,11,0.8330816326530613
283,008-2014,4,session_0,run_0,2,12,0.8331326530612244
284,008-2014,4,session_0,run_0,2,13,0.8331734693877552
285,008-2014,4,session_0,run_0,2,14,0.8332244897959183
286,008-2014,4,session_0,run_0,2,15,0.8331938775510204
287,008-2014,4,session_0,run_0,2,16,0.833265306122449
288,008-2014,4,session_0,run_0,3,1,0.880030612244898
289,008-2014,4,session_0,run_0,3,2,0.8842448979591837
290,008-2014,4,session_0,run_0,3,3,0.8845000000000001
291,008-2014,4,session_0,run_0,3,4,0.8841020408163265
292,008-2014,4,session_0,run_0,3,5,0.8787244897959183
293,008-2014,4,session_0,run_0,3,6,0.8815408163265306
294,008-2014,4,session_0,run_0,3,7,0.8815102040816327
295,008-2014,4,session_0,run_0,3,8,0.8815714285714286
296,008-2014,4,session_0,run_0,3,9,0.8817755102040816
297,008-2014,4,session_0,run_0,3,10,0.8816938775510204
298,008-2014,4,session_0,run_0,3,11,0.8816224489795919
299,008-2014,4,session_0,run_0,3,12,0.881673469387755
300,008-2014,4,session_0,run_0,3,13,0.8818775510204082
301,008-2014,4,session_0,run_0,3,14,0.8823163265306123
302,008-2014,4,session_0,run_0,3,15,0.8822755102040817
303,008-2014,4,session_0,run_0,3,16,0.8817857142857143
304,008-2014,4,session_0,run_0,4,1,0.820204081632653
305,008-2014,4,session_0,run_0,4,2,0.8244081632653061
306,008-2014,4,session_0,run_0,4,3,0.8317755102040816
307,008-2014,4,session_0,run_0,4,4,0.8315102040816327
308,008-2014,4,session_0,run_0,4,5,0.8311020408163267
309,008-2014,4,session_0,run_0,4,6,0.8336122448979592
310,008-2014,4,session_0,run_0,4,7,0.8369081632653061
311,008-2014,4,session_0,run_0,4,8,0.8377448979591835
312,008-2014,4,session_0,run_0,4,9,0.8382551020408163
313,008-2014,4,session_0,run_0,4,10,0.838030612244898
314,008-2014,4,session_0,run_0,4,11,0.838530612244898
315,008-2014,4,session_0,run_0,4,12,0.837469387755102
316,008-2014,4,session_0,run_0,4,13,0.8375816326530613
317,008-2014,4,session_0,run_0,4,14,0.8376632653061225
318,008-2014,4,session_0,run_0,4,15,0.8372755102040818
319,008-2014,4,session_0,run_0,4,16,0.8372142857142857
320,008-2014,5,session_0,run_0,0,1,0.831765306122449
321,008-2014,5,session_0,run_0,0,2,0.834234693877551
322,008-2014,5,session_0,run_0,0,3,0.8401224489795919
323,008-2014,5,session_0,run_0,0,4,0.8452448979591836
324,008-2014,5,session_0,run_0,0,5,0.8533673469387756
325,008-2014,5,session_0,run_0,0,6,0.8523979591836734
326,008-2014,5,session_0,run_0,0,7,0.8536836734693878
327,008-2014,5,session_0,run_0,0,8,0.853642857142857
328,008-2014,5,session_0,run_0,0,9,0.8540816326530613
329,008-2014,5,session_0,run_0,0,10,0.8554897959183674
330,008-2014,5,session_0,run_0,0,11,0.855765306122449
331,008-2014,5,session_0,run_0,0,12,0.8555102040816326
332,008-2014,5,session_0,run_0,0,13,0.8554081632653062
333,008-2014,5,session_0,run_0,0,14,0.8548265306122448
334,008-2014,5,session_0,run_0,0,15,0.8579183673469388
335,008-2014,5,session_0,run_0,0,16,0.8578367346938776
336,008-2014,5,session_0,run_0,1,1,0.8370102040816327
337,008-2014,5,session_0,run_0,1,2,0.8382857142857142
338,008-2014,5,session_0,run_0,1,3,0.8471428571428571
339,008-2014,5,session_0,run_0,1,4,0.8559183673469388
340,008-2014,5,session_0,run_0,1,5,0.8573571428571428
341,008-2014,5,session_0,run_0,1,6,0.8551428571428571
342,008-2014,5,session_0,run_0,1,7,0.855561224489796
343,008-2014,5,session_0,run_0,1,8,0.8559183673469388
344,008-2014,5,session_0,run_0,1,9,0.855969387755102
345,008-2014,5,session_0,run_0,1,10,0.8562142857142857
346,008-2014,5,session_0,run_0,1,11,0.8552448979591836
347,008-2014,5,session_0,run_0,1,12,0.8551836734693878
348,008-2014,5,session_0,run_0,1,13,0.8567755102040817
349,008-2014,5,session_0,run_0,1,14,0.8572755102040817
350,008-2014,5,session_0,run_0,1,15,0.8570612244897958
351,008-2014,5,session_0,run_0,1,16,0.857204081632653
352,008-2014,5,session_0,run_0,2,1,0.8615510204081633
353,008-2014,5,session_0,run_0,2,2,0.854826530612245
354,008-2014,5,session_0,run_0,2,3,0.8665612244897959
355,008-2014,5,session_0,run_0,2,4,0.8684285714285714
356,008-2014,5,session_0,run_0,2,5,0.862265306122449
357,008-2014,5,session_0,run_0,2,6,0.8617244897959184
358,008-2014,5,session_0,run_0,2,7,0.8592551020408163
359,008-2014,5,session_0,run_0,2,8,0.8602551020408163
360,008-2014,5,session_0,run_0,2,9,0.8602142857142856
361,008-2014,5,session_0,run_0,2,10,0.8613775510204082
